product_name,categories_en,categories_tags,proteins_100g,sugars_100g,fat_100g,fiber_100g,energy_100g,ingredients_text,Primary_Category
"Poore brothers, kettle cooked potato chips, bar.b.que",Snacks,en:snacks,7.14,0.0,28.57,3.6,2243.0,"Potatoes, cottonseed and/or sunflower and/or safflower oil, sugar, brown sugar, salt, dextrose, onion and garlic powder, autolyzed yeast extract, molasses, spices, natural smoke flavor, paprika, extractives of paprika, tomato powder, torula yeast, caramel color, citric acid, natural flavors, modified food starch, corn syrup solids.",Bars
"Poore Brothers, Intensely Different, Kettle Cooked Potato Chips, Jalapeno",Snacks,en:snacks,7.14,3.57,28.57,3.6,2092.0,"Potatoes, vegetable oil (may contain one or more of the following: sunflower, safflower, corn and/or cottonseed oils), salt dextrose, maltodextrin, jalapeno pepper, onion powder, autolyzed yeast, torula yeast, garlic powder, natural and artificial flavors, spice, corn syrup solids, extractives of capsicum and paprika, citric acid, disodium inosinate and disodium guanylate.",Chips & Salty Snacks
Kettle cooked potato chips,Snacks,en:snacks,7.14,0.0,28.57,3.6,2243.0,"Potatoes, cottonseed oil and/or sunflower oil and/or safflower oil, whey, maltodextrin, salt, natural & artificial flavors, buttermilk, cheddar cheese (cultured milk, salt, enzymes), spices, yeast extract, lactic acid, torula yeast, citric acid, disodium phosphate.",Chips & Salty Snacks
"Poore Brothers, Sea Salt Kettle Cooked Potato Chips, Olive Oil",Snacks,en:snacks,7.14,0.0,25.0,3.6,2092.0,"Potatoes, olive oil, sea salt.",Chips & Salty Snacks
"Nathan's, Potato Chips",Snacks,en:snacks,7.14,0.0,28.57,3.6,2243.0,"Potatoes. cottonseed oil and/or sunflower oil and/or safflower oil, salt, dextrose, dehydrated yellow mustard (distilled vinegar, mustard seeds, turmeric, paprika, spice, natural flavor, garlic powder, maltodextrin, modified food starch), dehydrated vegetables (tomatoes, onion, garlic), torula yeast, sodium diacetate, sugar, molasses, rice flour, yeast extract, spices, caramel color, natural & artificial flavors, citric acid, malic acid, extractives of paprika and turmeric.",Chips & Salty Snacks
Hager pharma xylitol gum box asst flv,"Snacks,Sweet snacks,Confectioneries,Candies","en:snacks,en:sweet-snacks,en:confectioneries,en:candies",0.0,0.0,0.0,,387.0,,Chocolate & Candy
Yogurt pretzels,"Snacks,Salty snacks,Appetizers,Biscuits and crackers,Crackers (Appetizers),Pretzel","en:snacks,en:salty-snacks,en:appetizers,en:biscuits-and-crackers,en:crackers-appetizers,en:pretzel",3.3,4.3,20.0,3.3,2092.0,,Chips & Salty Snacks
"Queso fiesta cheese, blasted","Snacks,Salty snacks,Appetizers,Biscuits and crackers,Crackers (Appetizers)","en:snacks,en:salty-snacks,en:appetizers,en:biscuits-and-crackers,en:crackers-appetizers",10.0,3.33,20.0,6.7,1954.0,"Made with smiles and unbleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate [vitamin b1], riboflavin [vitamin b2], folic acid), vegetable oils (canola, sunflower and/or soybean), corn flour, cornstarch, salt, contains 2 percent or less of: dehydrated skim milk, autolyzed yeast, natural flavors, dehydrated onions, sugar, cheddar cheese (milk, salt, cultures, enzymes), spices (contains celery), dehydrated parsley, tomato powder, yeast, dehydrated garlic, whey, dehydrated red peppers, maltodextrin, paprika, buttermilk, dehydrated butter (cream, salt), modified food starch, smoked paprika, citric acid, disodium guanylate, disodium inosinate, lactic acid, malic acid, vinegar solids and yeast extract.",Chips & Salty Snacks
Minis cookies,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits",4.6511627906977,39.53488372093,13.953488372093,2.3255813953488,1849.0,"Made from: enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), sugar, brown sugar (sugar, invert sugar, molasses), palm oil, molasses, eggs, contains 2% or less of: salt, cornstarch, ginger, baking soda, cinnamon, red radish juice concentrate for color, carnauba wax, soy lecithin, nonfat milk. contains: wheat, eggs, soy, milk.",Cookies & Biscuits
Pepperidge farm cookies,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits",6.25,37.5,25.0,3.1,2092.0,"Made from: enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), sugar, vegetable oils (palm kernel, palm and/or soybean and hydrogenated soybean), semi sweet chocolate (sugar, chocolate, chocolate processed withalkali, cocoa butter, milkfat, soy lecithin, vanilla extract), contains 2% or less of: eggs, corn syrup solids, salt, cornstarch, red radish juice concentrate and paprika extract for color, baking soda, soy lecithin, milkfat, natural flavor, peppermint oil, nonfat milk. contains: wheat, milk, soy, eggs.",Cookies & Biscuits
Pepperidge farm cookies caramel apple,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits",3.33,40.0,16.67,3.3,1812.0,"Made from: enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), caramel bits (sugar, corn syrup, nonfat milk, palm oil, butter, salt, mono and diglycerides, soy lecithin), fructose, palm and/or soybean and hydrogenated soybean oil, sugar, brown sugar (sugar, invert sugar, molasses), apples, butter, oats, corn syrup solids, contains 2% or less of: cornstarch, eggs, natural flavor, baking soda, salt, cinnamon, ammonium bicarbonate, monocalcium phosphate, nonfat milk, annatto extract for color, citric acid, invert sugar.contains: wheat, milk, soy, eggs.",Cookies & Biscuits
Chessmen minis,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits",6.6666666666667,20.0,20.0,3.3333333333333,1953.0,"Made from: enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), butter, sugar, cornstarch, contains 2% or less of: dextrose, eggs, baking soda, cream of tartar, nonfat milk, soy lecithin.contains: wheat, milk, eggs, soy",Cookies & Biscuits
Milano cookies,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits",5.88,32.35,26.47,2.9,2213.0,"Made from: enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), semi sweet chocolate (sugar, chocolate, chocolate processed with alkali, cocoa butter, milkfat, soy lecithin, vanilla extract), sugar, palm and/or soybean and hydrogenated soybean oil, eggs, contains 2% or less of: cornstarch, salt, baking soda, soy lecithin, natural flavor, nonfat milk.contains: egg, wheat, milk, soy.",Cookies & Biscuits
Pepperidge farm crackers,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits",10.0,3.33,16.67,3.3,1954.0,"Made with smiles and enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), cheddar cheese (cultured milk, salt, enzymes), canola and/or sunflower oils, contains 2% or less of: salt, yeast, autolyzed yeast, sugar, spices, celery, onion powder, and beet juice concentrate, paprika extract, turmeric extract, huito juice concentrate, watermelon juice concentrate for color. contains: wheat, milk.",Chips & Salty Snacks
Pepperidge Farm Crackers,"Snacks,Salty snacks,Sweet snacks,Appetizers,Biscuits and cakes,Biscuits and crackers,Biscuits,Crackers (Appetizers)","en:snacks,en:salty-snacks,en:sweet-snacks,en:appetizers,en:biscuits-and-cakes,en:biscuits-and-crackers,en:biscuits,en:crackers-appetizers",10.0,0.0,16.666666666667,3.3333333333333,1953.0,"Made with smiles and unbleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate [vitamin b1], riboflavin [vitamin b2], folic acid), cheddar cheese ([cultured milk, salt, enzymes], annatto), vegetable oils (canola, sunflower and/or soybean), contains 2 percent or less of: salt, yeast, sugar, autolyzed yeast, leavening (baking soda, monocalcium phosphate, ammonium bicarbonate), paprika, spices (contains celery) and dehydrated onions.",Chips & Salty Snacks
"Pepperidge farm, sweet 7 simple favorites cookies","Snacks,Sweet snacks,Biscuits and cakes,Biscuits","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits",7.14,25.0,21.43,3.6,2092.0,"Unbleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate [vitamin b1], riboflavin [vitamin b2], folic acid), sugar, vegetable oils (palm and/or interesterified and hydrogenated soybean and/or hydrogenated cottonseed), butter, cornstarch, coconut (sulfites?), eggs, contains 2 percent or less of: sweetener skim milk, dextrose, leavening (baking soda, cream of tartar), egg whites, salt, maltodextrin, natural flavors, soy lecithin and modified cornstarch.",Cookies & Biscuits
